Tag Code,Release Site Name,Mark Date,Mark DOY,Mark Length mm,Mark Weight g,Release Temp. C,Recap Date,Recap DOY,Recap Site,Recap Length mm,Recap Weight g,Total days,Growth_FL,Growth_Wt
3DD.003D53CACF,Big Creek,8/6/2021,218,59,2.4,6.5,6/1/2022,152,Lower Granite,102,12.5,299,43,10.1
3DD.0077C11F93,Big Creek,8/2/2018,214,59,3.1,8.6,5/22/2019,142,Lower Granite,98,13.9,293,39,10.8
3D9.1C2DB1F6FC,Big Creek,8/15/2011,227,59,2.6,7,5/20/2012,141,Lower Granite,108,14.6,279,49,12
3D9.1BF1CAF9BD,Big Creek,8/16/2003,228,59,2.9,11,6/7/2004,159,Little Goose,118,16.5,296,59,13.6
3D9.1C2E08A7DA,Big Creek,8/15/2013,227,60,3,12.6,5/27/2014,147,Lower Granite,85,7.3,285,25,4.3
3DD.0077B4ADE4,Big Creek,8/8/2017,220,60,2.7,10.5,5/12/2018,132,Lower Granite,85,7.3,277,25,4.6
3DD.007745BD7D,Big Creek,8/15/2014,227,60,2.9,10.1,5/9/2015,129,Lower Granite,89,8.1,267,29,5.2
3D9.1BF1CC0010,Big Creek,8/15/2005,227,60,3.1,8,4/21/2006,111,Little Goose,93,8.4,249,33,5.3
3D9.1C2E07E67F,Big Creek,8/15/2013,227,60,3.2,12.6,5/28/2014,148,Lower Granite,92,8.9,286,32,5.7
3D9.239F85FF7A,Big Creek,8/16/2011,228,60,3.2,11.2,5/8/2012,129,Lower Granite,95,9.6,266,35,6.4
3D9.239F86FE63,Big Creek,8/15/2011,227,60,3.2,7,4/27/2012,118,Lower Granite,98,10,256,38,6.8
3D9.1BF1CC054A,Big Creek,8/16/2003,228,60,2.7,11,5/19/2004,140,Little Goose,97,9.8,277,37,7.1
3D9.1C2DB50360,Big Creek,8/16/2011,228,60,2.9,11.2,4/24/2012,115,Lower Granite,94,10.1,252,34,7.2
3D9.1C2DE97015,Big Creek,8/10/2012,223,60,3.2,11,5/16/2013,136,Lower Granite,100,11.4,278,40,8.2
3DD.007744E3FD,Big Creek,8/15/2014,227,60,3.1,10.1,5/24/2015,144,Lower Granite,101,11.5,282,41,8.4
3DD.0077B59244,Big Creek,8/7/2017,219,60,3.2,7.5,5/11/2018,131,Lower Granite,99,11.9,277,39,8.7
3D9.1BF2630710,Big Creek,8/7/2006,219,60,2.8,8,5/2/2007,122,Little Goose,107,11.7,268,47,8.9
3D9.1BF1CBBA20,Big Creek,8/15/2003,227,60,3,13,5/29/2004,150,Little Goose,107,12.4,288,47,9.4
384.1B7976E2D7,Big Creek,8/7/2016,220,60,2.9,9,5/19/2017,139,Lower Granite,104,12.8,284,44,9.9
3DD.00773AA2E5,Big Creek,8/14/2014,226,60,2.9,8.9,5/8/2015,128,Lower Granite,107,12.8,267,47,9.9
3D9.1C2E02EB13,Big Creek,8/12/2015,224,60,2.4,10,5/1/2016,122,Lower Granite,104,12.9,263,44,10.5
3DD.0077B595E7,Big Creek,8/7/2017,219,60,2.5,7.5,5/11/2018,131,Lower Granite,105,13.3,277,45,10.8
3D9.239F86D451,Big Creek,8/15/2011,227,60,2.7,7,5/18/2012,139,Lower Granite,110,13.6,277,50,10.9
3D9.1BF1CB13D1,Big Creek,8/15/2003,227,60,2.9,9,5/15/2004,136,Little Goose,114,14.6,274,54,11.7
3D9.1BF1CAFBB6,Big Creek,8/15/2003,227,60,2.9,9,5/11/2004,132,Little Goose,115,16,270,55,13.1
3D9.239F86CC0F,Big Creek,8/16/2011,228,60,3.2,11.2,6/13/2012,165,Lower Granite,112,17.2,302,52,14
3D9.1BF1CAFFDA,Big Creek,8/15/2003,227,60,2.9,13,5/27/2004,148,Little Goose,118,17.2,286,58,14.3
3DD.0077C3DFC0,Big Creek,8/2/2018,214,61,3.8,8.6,5/9/2019,129,Lower Granite,86,7.4,280,25,3.6
3DD.00779BF5CE,Big Creek,8/7/2016,220,61,3.6,9,5/19/2017,139,Lower Granite,88,7.3,284,27,3.7
3D9.1C2DA5EC45,Big Creek,9/2/2011,245,61,3.4,10,4/25/2012,116,Lower Granite,92,9.1,236,31,5.7
3D9.1C2E0339D0,Big Creek,8/14/2013,226,61,3,12.6,4/25/2014,115,Lower Granite,91,9,254,30,6
3D9.1C2DB4EC90,Big Creek,8/16/2011,228,61,2.7,11.2,4/26/2012,117,Lower Granite,97,9.3,254,36,6.6
3D9.1BF1C4CE1E,Big Creek,8/21/2003,233,61,3.1,15.5,5/7/2004,128,Little Goose,101,10.4,260,40,7.3
3DD.00779C57AB,Big Creek,8/7/2016,220,61,2.4,9,4/24/2017,114,Lower Granite,96,9.8,259,35,7.4
3D9.1C2E09FE4B,Big Creek,8/14/2013,226,61,2.5,12.6,5/12/2014,132,Lower Granite,101,10.4,271,40,7.9
3D9.1BF1A73CC7,Big Creek,8/12/2004,225,61,2.9,9,5/28/2005,148,Little Goose,103,11.2,288,42,8.3
3D9.1C2E02CF1A,Big Creek,8/15/2013,227,61,3,12.6,5/27/2014,147,Lower Granite,101,12,285,40,9
3D9.1BF1CAF173,Big Creek,8/21/2003,233,61,2.4,15.5,5/13/2004,134,Little Goose,105,11.7,266,44,9.3
3D9.239F86F654,Big Creek,8/16/2011,228,61,3.5,11.2,6/12/2012,164,Lower Granite,103,12.8,301,42,9.3
3D9.1C2DE81F3C,Big Creek,8/25/2015,237,61,2.8,16,4/29/2016,120,Lower Granite,104,12.3,248,43,9.5
3D9.1BF1F8B1DD,Big Creek,8/11/2004,224,61,2.5,15,6/1/2005,152,Little Goose,107,12.1,293,46,9.6
3D9.1BF15D4C53,Big Creek,8/16/2002,228,61,4.2,8,5/26/2003,146,Little Goose,111,13.9,283,50,9.7
3DD.003D53C19D,Big Creek,8/6/2021,218,61,2.9,6.5,6/2/2022,153,Lower Granite,102,12.7,300,41,9.8
3D9.1C2E02CEEF,Big Creek,8/15/2013,227,61,3.3,12.6,5/23/2014,143,Lower Granite,106,13.2,281,45,9.9
3DD.0077CB7931,Big Creek,8/2/2018,214,61,2.6,8.6,4/23/2019,113,Lower Granite,101,12.8,264,40,10.2
3D9.1BF1C4B7DD,Big Creek,8/15/2003,227,61,2.9,13,6/2/2004,154,Little Goose,109,13.3,292,48,10.4
