,Site,Project,Longitude,Latitude,Elevation,Year
98,88Smoky2008,Smoky,-119.18975,56.21605,757,2008
99,13Smoky2008,Smoky,-118.4816,55.511,762,2008
100,19Peace2008,Peace,-119.8486333,56.89676667,750,2008
101,58Smoky2008,Smoky,-117.6613333,54.7603,940,2008
102,3Smoky2008,Smoky,-119.0802833,56.20921667,760,2008
103,24Peace2008,Peace,-119.9504667,57.08008333,777,2008
104,2Smoky2008,Smoky,-118.9365833,56.12356667,750,2008
105,91Smoky2008,Smoky,-117.4918333,54.7105,710,2008
106,18Peace2008,Peace,-119.7390333,56.99128333,812,2008
107,29Peace2008,Peace,-119.3752333,56.6278,1080,2008
108,60Smoky2008,Smoky,-117.2828333,54.5512,750,2008
109,61Smoky2008,Smoky,-117.2822,54.55125,801,2008
110,59Smoky2008,Smoky,-117.4042833,54.73853333,794,2008
111,34Peace2008,Peace,-119.8519833,57.19875,778,2008
112,30Peace2008,Peace,-119.20585,56.6478,1057,2008
113,1Peace2008,Peace,-118.6667167,56.18381667,669,2008
114,17Smoky2008,Smoky,-118.15195,55.67071667,755,2008
115,19Smoky2008,Smoky,-117.7849167,55.304,928,2008
116,25Peace2008,Peace,-119.7126,57.2395,767,2008
117,3Peace2008,Peace,-118.6003667,56.1551,677,2008
118,2Peace2008,Peace,-118.5986833,56.17815,660,2008
119,20Peace2008,Peace,-119.1141667,56.72515,996,2008
120,23Peace2008,Peace,-119.5748,57.18665,762,2008
121,18Smoky2008,Smoky,-117.7798667,55.47435,648,2008
122,46Smoky2008,Smoky,-117.4528333,55.1516,762,2008
123,89Smoky2008,Smoky,-117.444,55.1615,750,2008
124,10Peace2008,Peace,-118.5219333,56.35146667,832,2008
125,9Peace2008,Peace,-118.5723667,56.40846667,790,2008
126,8Peace2008,Peace,-118.5128667,56.39991667,826,2008
127,7Peace2008,Peace,-118.7024833,56.6274,935,2008
128,11Peace2008,Peace,-118.4195167,56.38341667,758,2008
129,26Peace2008,Peace,-119.1742,57.24413333,860,2008
130,12Peace2008,Peace,-118.3641167,56.49721667,810,2008
131,13Peace2008,Peace,-118.3853333,56.63908333,730,2008
132,14Peace2008,Peace,-118.1212833,56.38001667,850,2008
133,16Peace2008,Peace,-118.14755,56.43713333,792,2008
134,15Peace2008,Peace,-118.00935,56.38875,600,2008
135,22Peace2008,Peace,-118.3126833,56.71468333,850,2008
136,31Peace2008,Peace,-117.95925,56.37421667,700,2008
137,33Peace2008,Peace,-118.3013833,56.72705,795,2008
138,21Peace2008,Peace,-118.28505,56.71266667,826,2008
139,32Peace2008,Peace,-118.0055167,56.44933333,720,2008
140,17Peace2008,Peace,-117.9194667,56.3654,759,2008
141,28Peace2008,Peace,-116.7308,55.96893333,700,2008
142,27Peace2008,Peace,-116.9238667,56.23573333,640,2008
143,35Peace2008,Peace,-116.8022,56.17433333,640,2008
144,95Smoky2009,Smoky,-119.9776167,54.0492,1571,2009
145,122Smoky2009,Smoky,-119.8481833,53.97763333,1519,2009
146,123Smoky2009,Smoky,-119.8394167,53.98023333,1495,2009
147,121Smoky2009,Smoky,-119.9281167,54.13983333,1425,2009
148,120Smoky2009,Smoky,-119.7644,54.09508333,1244,2009
149,94Smoky2009,Smoky,-119.6921,54.04496667,1501,2009
150,117Smoky2009,Smoky,-119.9175,54.36318333,1080,2009
151,126Smoky2009,Smoky,-119.9995833,54.49463333,1413,2009
152,125Smoky2009,Smoky,-119.9659833,54.49008333,1389,2009
153,118Smoky2009,Smoky,-119.7156833,54.2735,1290,2009
154,92Smoky2009,Smoky,-119.7654,54.41218333,1226,2009
155,124Smoky2009,Smoky,-119.9761,54.71543333,1045,2009
156,119Smoky2009,Smoky,-119.74305,54.5065,1183,2009
157,93Smoky2009,Smoky,-119.7272167,54.51028333,1159,2009
158,68Smoky2009,Smoky,-119.9415,54.73963333,975,2009
159,63Smoky2009,Smoky,-119.9502,54.93591667,887,2009
160,128Smoky2009,Smoky,-119.7291167,54.71528333,1024,2009
161,129Smoky2009,Smoky,-119.6913667,54.71548333,1000,2009
162,61Smoky2009,Smoky,-119.9216,54.95301667,891,2009
163,89Smoky2009,Smoky,-119.9903,55.06326667,850,2009
164,58Smoky2009,Smoky,-119.9644333,55.06965,850.5,2009
165,97Smoky2009,Smoky,-119.69825,54.82306667,850,2009
166,104Smoky2009,Smoky,-119.5623333,54.8056,950,2009
167,83Smoky2009,Smoky,-119.99685,55.29478333,875,2009
168,88Smoky2009,Smoky,-119.9719167,55.27281667,850,2009
169,106Smoky2009,Smoky,-119.3908833,54.7892,915,2009
170,87Smoky2009,Smoky,-119.9757833,55.40876667,878,2009
171,59Smoky2009,Smoky,-119.4730333,54.91021667,729,2009
172,105Smoky2009,Smoky,-119.3324667,54.79945,817,2009
173,108Smoky2009,Smoky,-119.3827833,54.98011667,760,2009
174,91Smoky2009,Smoky,-119.2732667,54.90015,876,2009
175,101Smoky2009,Smoky,-119.17415,54.83628333,844,2009
176,86Smoky2009,Smoky,-119.7698667,55.46068333,818,2009
177,102Smoky2009,Smoky,-118.9769833,54.72785,970,2009
178,114Smoky2009,Smoky,-119.8866,55.75145,842,2009
179,98Smoky2009,Smoky,-118.5261833,54.39706667,890,2009
180,96Smoky2009,Smoky,-119.62465,55.51291667,920,2009
181,103Smoky2009,Smoky,-118.9429,54.91378333,762,2009
182,100Smoky2009,Smoky,-118.6762833,54.66626667,873,2009
183,84Smoky2009,Smoky,-119.6780667,55.71436667,760,2009
184,64Smoky2009,Smoky,-118.7101833,54.78,819,2009
185,99Smoky2009,Smoky,-118.5446333,54.65755,832,2009
186,107Smoky2009,Smoky,-118.81375,54.93285,890,2009
187,72Smoky2009,Smoky,-118.6225667,54.77983333,720,2009
188,71Smoky2009,Smoky,-118.65965,54.92155,673,2009
189,109Smoky2009,Smoky,-119.5466833,55.88128333,812,2009
190,73Smoky2009,Smoky,-118.5342833,54.91385,672,2009
191,74Smoky2009,Smoky,-118.7090333,55.10051667,652,2009
192,111Smoky2009,Smoky,-119.2603167,55.69141667,970,2009
193,77Smoky2009,Smoky,-118.1564167,54.60883333,822,2009
194,69Smoky2009,Smoky,-118.4630333,54.94223333,668,2009
195,67Smoky2009,Smoky,-118.5812667,55.08338333,646,2009
196,66Smoky2009,Smoky,-118.5037333,55.04288333,663,2009
197,70Smoky2009,Smoky,-118.3977333,54.9481,662,2009
198,110Smoky2009,Smoky,-119.2610167,55.81168333,727,2009
199,62Peace2009,Peace,-119.8902833,56.45941667,0,2009
200,65Smoky2009,Smoky,-118.3555167,54.97035,660,2009
201,82Smoky2009,Smoky,-118.4158,55.0364,653,2009
202,78Smoky2009,Smoky,-117.96785,54.65383333,913,2009
203,40Peace2009,Peace,-119.9041333,56.59528333,845,2009
204,41Peace2009,Peace,-119.9266,56.6332,967,2009
205,116Smoky2009,Smoky,-118.7581333,55.46716667,680,2009
206,115Smoky2009,Smoky,-119.1582,55.88803333,680,2009
207,60Smoky2009,Smoky,-118.61505,55.4806,780,2009
208,81Smoky2009,Smoky,-118.1622833,55.09955,646,2009
209,38Peace2009,Peace,-119.9805667,56.95771667,730,2009
210,35Peace2009,Peace,-119.5168167,56.50316667,694,2009
211,39Peace2009,Peace,-119.62255,56.61051667,935,2009
212,79Smoky2009,Smoky,-117.70465,54.71766667,758,2009
213,65Peace2009,Peace,-119.7121667,56.75235,1033,2009
214,80Smoky2009,Smoky,-118.0531167,55.10301667,777,2009
215,112Smoky2009,Smoky,-119.16345,56.283,681,2009
216,113Smoky2009,Smoky,-118.9661,56.11951667,685,2009
217,34Peace2009,Peace,-119.3721667,56.58058333,912,2009
218,37Peace2009,Peace,-119.6884,56.9688,836,2009
219,46Peace2009,Peace,-119.883,57.1934,770,2009
220,66Peace2009,Peace,-119.5241,56.88845,876,2009
221,36Peace2009,Peace,-119.3561833,56.76075,976,2009
222,47Peace2009,Peace,-119.8945333,57.32553333,775,2009
223,69Peace2009,Peace,-119.35675,56.85715,999,2009
224,60Peace2009,Peace,-118.6729833,56.17745,660,2009
225,90Smoky2009,Smoky,-118.1517333,55.67078333,758,2009
226,75Smoky2009,Smoky,-117.7518167,55.30605,759,2009
227,43Peace2009,Peace,-118.5867667,56.1594,671,2009
228,59Peace2009,Peace,-119.52385,57.1283,1040,2009
229,67Peace2009,Peace,-119.3166167,56.98695,1057,2009
230,76Smoky2009,Smoky,-117.4527667,55.14756667,748,2009
231,62Smoky2009,Smoky,-117.7808,55.47741667,649,2009
232,61Peace2009,Peace,-119.0344,56.73715,1024,2009
233,48Peace2009,Peace,-119.60635,57.33916667,746,2009
234,63Peace2009,Peace,-119.3018667,57.13951667,965,2009
235,52Peace2009,Peace,-119.5415,57.3966,833,2009
236,42Peace2009,Peace,-118.4863167,56.40431667,820,2009
237,44Peace2009,Peace,-118.6288833,56.55393333,929,2009
238,45Peace2009,Peace,-118.4532333,56.40641667,827,2009
239,72Peace2009,Peace,-118.5174,56.47991667,0,2009
240,70Peace2009,Peace,-118.81835,56.85311667,1005,2009
241,64Peace2009,Peace,-118.7078,56.77125,928,2009
242,58Peace2009,Peace,-118.3713333,56.63501667,726,2009
243,57Peace2009,Peace,-117.9489,56.391,787,2009
244,56Peace2009,Peace,-118.9401167,57.38618333,844,2009
245,54Peace2009,Peace,-118.1125333,56.68391667,800,2009
246,53Peace2009,Peace,-118.1354,56.7341,764,2009
247,68Peace2009,Peace,-118.4358833,57.40478333,898,2009
248,49Peace2009,Peace,-116.6825333,55.97845,719,2009
249,71Peace2009,Peace,-116.8720167,56.17451667,0,2009
250,51Peace2009,Peace,-116.5343167,55.91345,734,2009
251,50Peace2009,Peace,-117.21,56.70058333,507,2009
252,55Peace2009,Peace,-116.7676,56.43955,605,2009
